"method","n_folds","n_ok","n_failed","runtime_sec_mean","runtime_sec_sd","retained_mb_mean","retained_mb_sd","sampled_peak_rss_mb_mean","sampled_peak_rss_mb_sd","unseen_fraction_mean","unseen_fraction_sd","oa_mean","oa_sd","macro_f1_mean","macro_f1_sd","miou_mean","miou_sd","rare_recall_mean","rare_recall_sd","ece_mean","ece_sd","ece_uncalibrated_mean","ece_uncalibrated_sd","seen_oa_mean","seen_oa_sd","seen_macro_f1_mean","seen_macro_f1_sd","seen_miou_mean","seen_miou_sd","temperature_mean","temperature_sd","calibration_n_mean","calibration_n_sd","calibration_nll_before_mean","calibration_nll_before_sd","calibration_nll_after_mean","calibration_nll_after_sd"
"rapid_ma_semisup",9,9,0,1.14644444444445,0.191966215198864,2.4756825764974,0.0754788076770148,640.055555555556,21.2126885659444,0.0901338936484744,0.172519162242467,0.526264850946963,0.260564104536698,0.578772404281194,0.252670285997809,0.499365057347645,0.250253268368445,0.413620019212042,0.395115266176448,0.311330450447953,0.136905070050811,0.323701989293538,0.144574907403362,0.566319778374428,0.229072281217079,0.624902958597085,0.19706277970642,0.538490643246588,0.206155676504593,0.615797901919278,0.329534061675965,15.1111111111111,7.4236858171067,1.6251202278415,0.503398743099855,1.40316506003075,0.71460177447631
"lema",9,9,0,2.04911111111112,0.337597557916395,10.5024261474609,0.159235343663146,958.532986111111,72.360998907346,0.0901338936484744,0.172519162242467,0.580510584156352,0.349287973371738,0.561843575602816,0.356665345861866,0.519719553650893,0.36272082465749,0.596426075671359,0.46575248651841,0.268710655354283,0.157915093426726,0.51093630164855,0.319328594288666,0.621944048514593,0.328570194637076,0.612608901580993,0.335179403213195,0.565624208325153,0.345480323249888,2.27923439696617,6.64533771069172,15.1111111111111,7.4236858171067,2.52480301601916,0.311523058038978,1.18137910027967,0.94920429782321
"target_centroid",9,9,0,0.0964444444444476,0.0780049855956488,0,0,181.168402777778,127.954390453166,0.0901338936484744,0.172519162242467,0.516094376081402,0.274878174657689,0.542677112057862,0.267479685606464,0.46875771819323,0.281780557277512,0.362302499543879,0.401163567668845,0.392687000021916,0.226781793684172,0.356167366358603,0.185465398162134,0.543045560250241,0.244040810315644,0.585779880321729,0.217387159231147,0.502822795000521,0.247190394216534,6.11545807093282,4.55662356470424,15.1111111111111,7.4236858171067,4.43423497174702,4.30578354715592,1.26272116554979,0.848402735067161
"rapid_ma_structured",9,9,0,1.39222222222222,0.380116027607949,2.4756825764974,0.0754788076770148,651.366319444444,37.9522823978158,0.0901338936484744,0.172519162242467,0.417658733161933,0.285878421376015,0.459629035920169,0.274737248278755,0.390684934613578,0.281406143558708,0.347168641726182,0.422651180903987,0.270153267179023,0.116164171267914,0.283648328488717,0.205924587999061,0.453665338575344,0.272758315551885,0.497907520566746,0.244985152660424,0.423356206347021,0.259668190197905,0.589844855778889,0.285580204848205,15.1111111111111,7.4236858171067,1.83923972214566,0.41341254114628,1.54592621995289,0.655279881158071
"target_structured",9,9,0,0.541666666666667,0.391197200910235,0.00887976752387153,0.000323247921660068,391.935763888889,98.7557888818352,0.0901338936484744,0.172519162242467,0.405976509417365,0.218835297755516,0.41972165100123,0.193722386860274,0.336098553134136,0.197773462312403,0.214139447774678,0.349422141273187,0.333836229288751,0.209444271271998,0.257574805964652,0.0952119778164369,0.430553892739218,0.199444400621261,0.458463937272093,0.15384510967512,0.367841884713495,0.17331471685461,6.74671455056896,7.29848473081138,15.1111111111111,7.4236858171067,4.00438544549202,3.44005481980945,1.81701023152187,0.690008356680204
"ssma",9,9,0,0.459222222222224,0.158191164242647,0.16388193766276,0.000542492335041235,428.65625,48.6708372933118,0.0901338936484744,0.172519162242467,0.291075504267741,0.381133959898925,0.34611026332592,0.309324982199525,0.320096277132731,0.31146152641927,0.280594650083641,0.41150664300791,0.421805133417374,0.321161353454612,0.236682276442678,0.309696382209864,0.300147932483595,0.375919617693039,0.358640578588756,0.303248289254183,0.33083380795899,0.307593424422462,3.88121954382519,5.56002706795969,15.1111111111111,7.4236858171067,2.49274023487862,0.684827777302116,2.09476299762693,0.990236737256741
"kema",9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
