"method","n_runs","n_ok","n_failed","fit_runtime_sec_mean","fit_runtime_sec_sd","match_runtime_sec_mean","match_runtime_sec_sd","matcher_retained_mb_mean","matcher_retained_mb_sd","hits1_mean","hits1_sd","matched_hits1_mean","matched_hits1_sd","mrr_mean","mrr_sd","coverage_mean","coverage_sd","candidate_edges_mean","candidate_edges_sd"
"position_knn_diagnostic",20,20,0,0,0,0.00189999999999975,0.000307793505625649,NA,NA,0.185333333333333,0.0248363061920077,0.185333333333333,0.0248363061920077,0.350715136743176,0.02085974768546,1,0,30000,0
"rapid_multiview_independent",20,20,0,0.38615,0.132109713177304,0.24205,0.00465069321374989,0.0198719024658203,7.97982764593215e-05,0.141333333333333,0.0249771825697537,0.141333333333333,0.0249771825697537,0.141333333333333,0.0249771825697537,1,0,9600,0
"rapid_multiview_one_to_one",20,20,0,0.38615,0.132109713177304,0.252150000000001,0.0300740752143776,0.0191108703613281,7.65304913896096e-05,0.140166666666667,0.0301162465140257,0.159261227581775,0.0306383403230511,0.140166666666667,0.0301162465140257,0.877166666666667,0.055454264386037,9600,0
"rapid_prototype_one_to_one",20,20,0,0.38615,0.132109713177304,0.241849999999999,0.0111792806472276,0.0185951232910156,5.06742233745533e-05,0.035,0.0122593799868027,0.0532244166139016,0.018057111666388,0.035,0.0122593799868027,0.656,0.0452362220955031,9600,0
"rapid_ma_semisup_embedding",20,20,0,0.38615,0.132109713177304,NA,NA,NA,NA,0.0156666666666667,0.00937209994131206,0.0156666666666667,0.00937209994131206,0.0575139381478973,0.0149722219567832,1,0,30000,0
"spectral_mnn_embedding",20,20,0,0.0436000000000001,0.030989641732954,NA,NA,NA,NA,0.00583333333333333,0.00417105032560307,0.00583333333333333,0.00417105032560307,0.0264273073262594,0.0118684843998948,1,0,30000,0
"token_ot_embedding",20,20,0,0.0551500000000001,0.0266996451780089,NA,NA,NA,NA,0.00516666666666667,0.00411458680324082,0.00516666666666667,0.00411458680324082,0.0216190262346258,0.0133321837214755,1,0,30000,0
"ssma_embedding",20,20,0,0.0323999999999995,0.0286382151752,NA,NA,NA,NA,0.00266666666666667,0.00136797113611354,0.00266666666666667,0.00136797113611354,0.0142599189024867,0.00220463167961434,1,0,30000,0
"lema_embedding",20,20,0,0.378000000000001,0.0593189416805905,NA,NA,NA,NA,5e-04,0.00163120161643198,0.0125,0.0407800404107994,0.00401550105163543,0.00269932892160215,0.04,0,30000,0
