"seed","method","status","assignment_mode","uses_alignment","uses_position","fit_runtime_sec","match_runtime_sec","matcher_retained_mb","hits1","matched_hits1","mrr","coverage","candidate_edges","candidate_cap","dense_pairwise_allocated","correspondence_read_during_fit_or_match","error"
7208,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0219999999999985,NA,NA,0.00333333333333333,0.00333333333333333,0.0162401036107968,1,30000,100,FALSE,FALSE,NA
7208,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0339999999999989,NA,NA,0.00666666666666667,0.00666666666666667,0.0285825044991548,1,30000,100,FALSE,FALSE,NA
7208,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0470000000000006,NA,NA,0.00333333333333333,0.00333333333333333,0.0151567566622762,1,30000,100,FALSE,FALSE,NA
7208,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00199999999999889,NA,0.193333333333333,0.193333333333333,0.349409677294162,1,30000,100,FALSE,FALSE,NA
7209,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.343999999999998,0.229999999999997,0.0185699462890625,0.0233333333333333,0.0364583333333333,0.0233333333333333,0.64,9600,32,FALSE,FALSE,NA
7209,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.343999999999998,0.241999999999997,0.01910400390625,0.133333333333333,0.150375939849624,0.133333333333333,0.886666666666667,9600,32,FALSE,FALSE,NA
7209,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.343999999999998,0.236000000000001,0.0197830200195312,0.13,0.13,0.13,1,9600,32,FALSE,FALSE,NA
7209,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.343999999999998,NA,NA,0.00666666666666667,0.00666666666666667,0.0276045757837791,1,30000,100,FALSE,FALSE,NA
7209,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.323,NA,NA,0,0,0.00352265438454697,0.04,30000,100,FALSE,TRUE,NA
7209,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0240000000000009,NA,NA,0.00333333333333333,0.00333333333333333,0.0160787676369663,1,30000,100,FALSE,FALSE,NA
7209,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0340000000000025,NA,NA,0.01,0.01,0.050217882356885,1,30000,100,FALSE,FALSE,NA
7209,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0459999999999994,NA,NA,0.00333333333333333,0.00333333333333333,0.0160125670485593,1,30000,100,FALSE,FALSE,NA
7209,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00100000000000122,NA,0.186666666666667,0.186666666666667,0.353642672415095,1,30000,100,FALSE,FALSE,NA
