"method","status","oos","n_fit","n_source","n_calibration","n_test","n_classes_train","n_classes_test","unseen_fraction","oa","macro_f1","miou","rare_recall","ece","ece_uncalibrated","seen_oa","seen_macro_f1","seen_miou","temperature","calibration_n","calibration_nll_before","calibration_nll_after","test_labels_read_during_fit","uses_source_alignment","uses_oos_structure","error","runtime_sec","retained_mb","sampled_peak_rss_mb","fold","test_block","calibration_block","seed","labels_per_class","calibration_per_class","max_fit_rows"
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,64,36,4573,17,3,0,0.515635250382681,0.738608300758902,0.598962580417011,0.476190476190476,0.313552294808295,0.327670916561435,0.515635250382681,0.738608300758902,0.598962580417011,0.920123170598786,24,2.29979314389625,2.29691291647804,FALSE,TRUE,FALSE,NA,1.014,2.40740203857422,651.734375,3,10,11,5110,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,64,36,4573,17,3,0,0.356002624097966,0.377026953146356,0.263372253769753,0.428571428571429,0.13772613992715,0.193915412395836,0.356002624097966,0.377026953146356,0.263372253769753,0.692398425448268,24,2.29506410077423,2.24840086472034,FALSE,TRUE,TRUE,NA,1.182,2.40740203857422,618.5625,3,10,11,5110,4,4,750
"lema","ok","direct learned low-modality linear projection",750,64,36,4573,16,3,0,0.851301115241636,0.910119214975222,0.844427571832663,1,0.527830086022097,0.768354967904925,0.851301115241636,0.910119214975222,0.844427571832663,0.145335928976454,24,2.63462952353075,2.24684243143489,FALSE,TRUE,FALSE,NA,1.767,10.3113784790039,1054.328125,3,10,11,5110,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,64,36,4573,16,3,0,0.109118740432976,0.398239105682352,0.337630803400711,0.0476190476190476,0.0324367407877586,0.0169990592945114,0.109118740432976,0.398239105682352,0.337630803400711,4.44673551994029,24,2.90965431202467,2.75031176499283,FALSE,TRUE,FALSE,NA,0.388999999999996,0.163230895996094,408.34375,3,10,11,5110,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.009,NA,484.671875,3,10,11,5110,4,4,750
"target_centroid","ok","direct scaled target features",750,64,8,7478,16,9,0.196710350361059,0.340599090665953,0.183164283194639,0.143154664788661,0,0.427738793967674,0.518957501926116,0.424005327118362,0.320066567039115,0.254209725278354,2.2167204881996,8,0.475220549345552,0.377595460258753,FALSE,FALSE,FALSE,NA,0.0820000000000078,0,137.421875,4,11,12,5111,4,4,750
"target_structured","ok","target-only bounded feature/position/attribute smoothing (0.50/0.25/0.25)",750,64,8,7478,16,9,0.196710350361059,0.372024605509495,0.19271288619428,0.150174959641589,0,0.224658377540807,0.290410225749883,0.463126352588647,0.321518926994144,0.262393983991086,1.29144785240011,8,1.21402537919841,1.18631815778177,FALSE,FALSE,TRUE,NA,0.603999999999999,0.00850677490234375,409,4,11,12,5111,4,4,750
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,64,8,7478,17,9,0.196710350361059,0.422439154854239,0.213170047436548,0.175106612067377,0,0.215768415812375,0.185665447324025,0.525886465789912,0.362916480102882,0.30099366039915,0.589146813254615,8,1.54259340085708,1.3996828807938,FALSE,TRUE,FALSE,NA,1.084,2.36908721923828,597.015625,4,11,12,5111,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,64,8,7478,17,9,0.196710350361059,0.425247392350896,0.195517167867967,0.158480331776989,0,0.212790988474252,0.175402849520399,0.529382387214916,0.33523416850295,0.283700857139683,0.438144628190041,8,1.84775139162319,1.51639327042702,FALSE,TRUE,TRUE,NA,1.37700000000001,2.36908721923828,659.890625,4,11,12,5111,4,4,750
"lema","ok","direct learned low-modality linear projection",750,64,8,7478,16,9,0.196710350361059,0.439957207809575,0.286570769261788,0.232269199322728,0,0.37661962193906,0.383184036700889,0.547694356583985,0.433064839131163,0.351630469854205,19.9999426090308,8,2.8583124558295,2.77629070543782,FALSE,TRUE,FALSE,NA,1.92,10.3115005493164,889.75,4,11,12,5111,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,64,8,7478,16,9,0.196710350361059,0.00200588392618347,0.0107768302939329,0.00563322140724818,0,0.642241191817603,0.152439393427107,0.00249708673214583,0.0162734597385053,0.00850927508448416,0.169989844438914,8,2.0517652416661,1.20883717780959,FALSE,TRUE,FALSE,NA,0.489999999999995,0.163230895996094,443.203125,4,11,12,5111,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.015,NA,474.734375,4,11,12,5111,4,4,750
"target_centroid","ok","direct scaled target features",750,76,12,10062,19,2,0,0.569270522758895,0.536303249657245,0.404538254560597,0.173103448275862,0.331731479033775,0.379894338122594,0.569270522758895,0.536303249657245,0.404538254560597,1.78107080452333,12,0.550895931387982,0.512159268265038,FALSE,FALSE,FALSE,NA,0.113,0,262.015625,5,12,13,5112,4,4,750
"target_structured","ok","target-only bounded feature/position/attribute smoothing (0.50/0.25/0.25)",750,76,12,10062,19,2,0,0.417312661498708,0.391913149192185,0.275045565930458,0.0751724137931035,0.273474943521231,0.192361468919093,0.417312661498708,0.391913149192185,0.275045565930458,0.742571758779273,12,0.644831179078506,0.621018049462373,FALSE,FALSE,TRUE,NA,0.89700000000002,0.00914764404296875,509.703125,5,12,13,5112,4,4,750
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,76,12,10062,20,2,0,0.598290598290598,0.597868781385272,0.454469785543828,0.252413793103448,0.36799836859467,0.403502693842836,0.598290598290598,0.597868781385272,0.454469785543828,0.545305025547268,12,1.02713569388515,0.891002618915863,FALSE,TRUE,FALSE,NA,1.268,2.54447937011719,635.9375,5,12,13,5112,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,76,12,10062,20,2,0,0.0655933214072749,0.163664335153092,0.0902238256162212,0.124827586206897,0.474897906606187,0.177814318614585,0.0655933214072749,0.163664335153092,0.0902238256162212,0.473108125078914,12,1.12543131628622,0.905069711390252,FALSE,TRUE,TRUE,NA,1.71599999999998,2.54447937011719,706.03125,5,12,13,5112,4,4,750
"lema","ok","direct learned low-modality linear projection",750,76,12,10062,19,2,0,0.0211687537268933,0.0241359773371105,0.0123664653971203,0,0.293329478437681,0.0396254970363727,0.0211687537268933,0.0241359773371105,0.0123664653971203,0.0500734960931034,12,2.459689674731,0.39217741220771,FALSE,TRUE,FALSE,NA,2.84300000000002,10.6339111328125,1081.578125,5,12,13,5112,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,76,12,10062,19,2,0,0.130093420791095,0.122980082675686,0.070112479914301,0.902758620689655,0.38543269961362,0.0198771008723226,0.130093420791095,0.122980082675686,0.070112479914301,0.130282231141328,12,1.54716922026193,0.768009748662608,FALSE,TRUE,FALSE,NA,0.564999999999998,0.164329528808594,471.4375,5,12,13,5112,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.012,NA,503.390625,5,12,13,5112,4,4,750
"target_centroid","ok","direct scaled target features",750,76,16,3339,19,3,0,0.535489667565139,0.772547202647109,0.716486050916347,1,0.282934596216932,0.381402597391326,0.535489667565139,0.772547202647109,0.716486050916347,4.63312243590233,16,2.15265976800928,0.971644253160902,FALSE,FALSE,FALSE,NA,0.0579999999999927,0,181.15625,6,13,14,5113,4,4,750
"target_structured","ok","target-only bounded feature/position/attribute smoothing (0.50/0.25/0.25)",750,76,16,3339,19,3,0,0.540581012279125,0.777145813041599,0.719108778679051,1,0.300899092609086,0.182149296607328,0.540581012279125,0.777145813041599,0.719108778679051,5.03728926820626,16,2.75429986022743,1.82166434602411,FALSE,FALSE,TRUE,NA,0.292000000000002,0.00914764404296875,345.09375,6,13,14,5113,4,4,750
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,76,16,3339,20,3,0,0.406409104522312,0.701757899513586,0.595238964067972,1,0.372219953674526,0.319595752335792,0.406409104522312,0.701757899513586,0.595238964067972,0.417075695695102,16,1.52866926176947,1.26341044754682,FALSE,TRUE,FALSE,NA,1.04600000000002,2.52706146240234,646.453125,6,13,14,5113,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,76,16,3339,20,3,0,0.356394129979036,0.65668713856695,0.54458407550655,1,0.274581592188429,0.258210681297338,0.356394129979036,0.65668713856695,0.54458407550655,0.649054855926846,16,1.83651400181847,1.76129414800997,FALSE,TRUE,TRUE,NA,1.20899999999997,2.52706146240234,616.703125,6,13,14,5113,4,4,750
"lema","ok","direct learned low-modality linear projection",750,76,16,3339,19,3,0,0.84156933213537,0.944431728896936,0.904266704911203,1,0.111156462857108,0.762540185612146,0.84156933213537,0.944431728896936,0.904266704911203,0.0549810411897048,16,2.24884266380724,0.54532181367481,FALSE,TRUE,FALSE,NA,1.84100000000001,10.6337203979492,876.078125,6,13,14,5113,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,76,16,3339,19,3,0,0.935908954776879,0.664168310322157,0.661707126076742,0,0.878947933074578,0.841406565557017,0.935908954776879,0.664168310322157,0.661707126076742,16.5058173323417,16,3.30008077623775,2.93984423531404,FALSE,TRUE,FALSE,NA,0.372000000000014,0.164329528808594,416.78125,6,13,14,5113,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.013,NA,465.484375,6,13,14,5113,4,4,750
"target_centroid","ok","direct scaled target features",750,64,28,2494,16,4,0.102646351242983,0.261828388131516,0.335330569425838,0.293180657519979,0,0.151835779377325,0.506208483785702,0.291778373547811,0.447107425901117,0.390907543359971,11.8359349502439,16,10.1721808016845,2.18063981881074,FALSE,FALSE,FALSE,NA,0.0580000000000211,0,85.359375,7,14,15,5114,4,4,750
